,month,date,seoul,busan,daegu,incheon,gwangju,daejon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,201907,6,15.825083675041494,8.986490926415952,8.492424446895646,11.077606220691166,8.297390826311169,8.87567488928843,7.769909970013703,8.334812278022005,13.250149888461442,10.390855671619596,9.490295897198642,9.769952473268866,9.037226615557213,8.927725011923705,9.197604778781779,9.02603749883195,8.658233418821146
0,201910,19,15.857047175299648,8.851104548095071,8.336630087637147,11.1166350756038,8.152393162291922,8.746813785841836,7.609926139532502,8.397479260522847,13.301636259450373,10.183846505313772,9.439365945071177,9.762124651891545,8.898414081014034,8.717027173294824,8.983609749647076,8.798483914899558,8.50047354877074
0,201910,25,15.859019551963929,8.850022857223728,8.327967858305488,11.11657466284077,8.145792847470323,8.743979133422258,7.625626542919698,8.394332771503398,13.3023025825217,10.177877235835437,9.432352961413393,9.754044056087313,8.899550344678962,8.71308886823731,8.974070726600319,8.787082422050934,8.518302253598705
0,201910,31,15.860988046015223,8.848939995030118,8.319229938632326,11.116514246427819,8.139148678884066,8.741136422901011,7.641084249174914,8.391176350832751,13.302968461902218,10.171872120095925,9.425290448261865,9.745897631961357,8.900685318713995,8.709134991587183,8.964439833539357,8.775549434486189,8.535818655539403
0,201909,9,15.839699001889073,9.034950733823024,8.565945259621932,11.095462671608447,8.344314906249577,8.881975184248867,7.8296701656065135,8.472844150842047,13.283946369048882,10.274675176245793,9.576419953350054,9.912293664664219,9.060191673528223,9.047539049668135,9.260928918086995,9.059203479459512,8.511778558714738
0,201905,4,15.821474678651215,8.762923599252641,8.348591281924035,11.086888588691572,8.10091499328845,8.725847766500518,7.584559968097691,8.40063762791403,13.288896815388279,10.221699612225736,9.535903085147163,9.865211038647685,8.93358334947815,8.746270073401021,9.080676146590086,8.821727623096498,8.407342322456785
0,201907,15,15.829366518702736,9.015588327409993,8.51181747780196,11.078713848813793,8.337101404900332,8.904349781297611,7.802473043238466,8.358091566182487,13.248311183966313,10.453638412528653,9.527322052417627,9.813882198258774,9.093306249362794,8.994140400057582,9.24369091165758,9.07544768454659,8.663263385609696
0,201909,10,15.840229246827768,9.027058354087103,8.557182839632397,11.096490406373421,8.336789793778186,8.876311813805867,7.818296178875685,8.469822020000219,13.284693655775266,10.271354630228974,9.571226436686379,9.906682443432647,9.052906530690008,9.034477910242966,9.250426095515468,9.049545445726508,8.508555998020574
0,201907,29,15.835992473513237,9.059232370333245,8.54125618018603,11.080434391054663,8.395899970001842,8.947382382902017,7.851108747180158,8.393259829605736,13.245444240064705,10.544081732198771,9.582324307222871,9.878598106059108,9.174733250959575,9.089411263586493,9.311408138569755,9.14776122034244,8.671037833635353
0,201910,8,15.853421016414277,8.853084614236476,8.352318548226004,11.116745822857824,8.16438174230255,8.751989870845264,7.580485772782233,8.403222235381412,13.300413512824903,10.19469847192228,9.452096722211833,9.776771591680975,8.89632757176215,8.724207360800564,9.000865079737839,8.81905490111918,8.466938406826658
