,month,date,seoul,busan,daegu,incheon,gwangju,daejon,ulsan,sejong,gyeonggi,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,jeju
0,202111,29,8253428.766666667,6092.166666666667,3557.466666666667,56058.566666666666,2998.9666666666667,5310.400000000001,1938.2333333333333,3159.8999999999996,521918.1666666667,18331.833333333332,8968.1,12797.966666666665,5549.333333333334,4779.866666666667,6243.633333333333,5783.766666666666,4636.1
0,202111,15,8193225.5,5912.5,3494.0,57480.5,2900.5,5162.0,1843.5,3172.5,537054.5,18861.5,9445.5,12993.5,5708.0,4876.0,6420.5,5584.5,4567.5
0,202106,25,8163505.833333333,5890.5,3529.9999999999995,54680.0,2449.666666666667,4898.5,1688.0,2967.166666666667,517765.1666666667,20045.833333333332,9105.833333333332,12151.5,5240.333333333334,4867.5,6632.333333333333,5376.166666666666,4722.5
0,202101,10,8168468.419354838,6304.58064516129,3864.5483870967746,49109.74193548387,3175.9354838709683,5343.41935483871,2128.6774193548385,3133.1935483870966,466699.48387096776,15830.74193548387,8874.709677419354,11857.774193548386,5546.258064516129,5135.41935483871,6276.967741935484,5864.806451612903,3959.354838709677
0,202106,19,8137603.633333331,5797.5,3460.4,55451.6,2473.266666666666,4927.9,1648.3999999999999,3010.566666666666,524942.5666666667,19746.833333333336,9115.233333333334,12263.7,5243.133333333333,4770.9,6539.133333333332,5305.566666666667,4658.3
0,202108,20,8216040.838709678,7158.548387096774,4570.193548387097,54055.32258064516,3626.3225806451615,6101.387096774194,2181.5161290322576,3387.774193548387,506338.7741935484,22911.612903225807,10331.387096774193,14478.032258064515,6952.612903225807,6833.451612903225,8519.967741935485,7359.0,4793.58064516129
0,202104,20,8099211.666666668,5364.666666666667,3303.333333333334,55287.66666666667,2640.3333333333335,4762.000000000001,1579.9999999999998,3410.6666666666665,529775.6666666667,20027.666666666664,9606.333333333332,13043.666666666666,5498.666666666666,5013.0,6453.0,5288.666666666666,4130.333333333334
0,202103,29,8033003.129032258,4883.096774193549,3077.290322580645,56919.709677419356,2412.1612903225805,4362.1935483870975,1420.4516129032259,3027.741935483871,543337.064516129,19123.580645161288,9459.967741935485,12103.516129032258,5152.58064516129,4672.290322580645,5758.225806451614,4594.8387096774195,4169.709677419355
0,202103,15,8046892.032258065,4918.774193548387,3128.322580645161,56574.67741935483,2434.2903225806454,4573.548387096775,1353.6129032258066,3011.9354838709683,539837.5161290322,18385.645161290326,9088.741935483871,11813.129032258064,5044.645161290323,4457.322580645162,5626.806451612903,4726.709677419354,3852.677419354839
0,202111,1,8133022.233333333,5732.833333333334,3430.533333333333,58902.433333333334,2802.0333333333333,5013.599999999999,1748.7666666666669,3185.1,552190.8333333333,19391.166666666668,9922.900000000001,13189.033333333335,5866.666666666666,4972.133333333333,6597.366666666667,5385.233333333334,4498.9
